userid,username,headline,skill
6068,Corinna Rodenburg,"L Construction Vehicle Repairer Job in Springfield
","Wireless Communication,Linux,BUILD RELEASE ENGINEER,Configuration Management,Network,Switches,Project,MAVEN,Kinesis,reports,Flask,Algorithms,Rest,Process Engineering,DB2"
6069,Tegan Jandrin,"L Construction Vehicle Repairer Job in Springfield
","Desktop,BANKING,RESTful web services,Manager,Tableau"
6070,Danial Lawwill,"Storage Management Consultant Job in Omaha
","Augmented Reality,Windows 7,Microsoft Office,Cognos,Test,WCF,Cisco UCS,DB2,System,Wireless"
6071,Shane Mazzanti,"Storage Management Consultant Job in Omaha
","RESTful web services,intense curiosity,MongoDB,Outlook,Linux System Admin"
6072,Cecil Tajiri,"Storage Management Consultant Job in Omaha
","BANKING,Design,Octave,React,Business Analytics,AME,HANA,SOX,System Testing,LabVIEW,JSF,Agile,UX,RHEL"
6073,Sudie Silguero,"RN Emergency Room Job in San Antonio
","MS Excel,Projects,VNF Manager"
6074,Lue Plotner,"RN Emergency Room Job in San Antonio
","Microsoft Access,SQL Server,FIX.FAST,VB,BUILD RELEASE ENGINEER,Soap,Manager,Hardware,.NET,Regulated Environment,Micro,Data Analytics,Windows 7"
6075,Tamie Kattner,"RN Emergency Room Job in San Antonio
","DEVELOPMENT SUPPORT,Quality,Microsoft Word,FIX.FAST,Wealth Management,Operations,Network Management,CENTOS,Lifecycle,Scripts,Scheduling,Construction,MongoDB"
6076,Gregory M. Saunders,"RN Emergency Room Job in San Antonio
","Protocol Management,Algorithm Engineer,,Spotfire,HDFS,Video,Soap,DEVOPS ENGINEER,Gnuplot,Lawson Supply Chain,COMPLIANCE,Solaris,Angular2,Computer"
6077,Alta Browm,"RN Emergency Room Job in San Antonio
","manage,VBA,Europe Asia.,Outlook,Protocols,NoSQL,Operations Analysis,System Software"
6078,Tosha Rygiel,"RN Emergency Room Job in San Antonio
","Prime Music streams,Outlook,SAP ERP,shopping carts,ADA,DEVELOPMENT SUPPORT,C++,BW reporting,Hadoop"
6079,Jewel Klakowicz,"RN Emergency Room Job in San Antonio
","Web Design,Keras"
6080,Monnie Niblack,"Hydraulic Technician Job in Fort Myers
","Algorithm Engineer,,UNIX/AIX,Xcode,Oracle,JSF,NoSQL,Theory of Computation,pharma"
6081,Carry Daras,"Hydraulic Technician Job in Fort Myers
","SAS,HTTP,visualization SQL,Info Sec"
6082,Chaya Callaro,"Restaurant Manager - Retail Food Service Management Job in Marion
","Developer,selenium testing automation,PyTorch,Architecture,XML/XSL,Manager,Theory of Computation,Recruiter,Database Administration,Application,SAP ERP,Websites"
6083,Cassy Datte,"Restaurant Manager - Retail Food Service Management Job in Marion
","Project Management,WebSphere,Wireless Communication,Algorithms"
6084,Jason Pazis,"Restaurant Manager - Retail Food Service Management Job in Marion
","FPGA,NLP,Digital Design,preferably with Scala,Angular2,C++,Spring,,architectural design patterns"
6085,Clarine Right,"Restaurant Manager - Retail Food Service Management Job in Marion
","Systems,Manager,ADA,Express,Documentation,Accounting"
6086,Amee Tanabe,"Restaurant Manager - Retail Food Service Management Job in Marion
","C++,CRM,APL,Cryptocurrency,Linux System Admin,Spotfire,CASE,Modeling,selenium testing automation,Java/J2EE,Quality Center,BASIC,BANKING,OOP,Telecom"
6087,Tyron Chambers,"Restaurant Manager - Retail Food Service Management Job in Marion
","ASP,Chef,Angular JS,Express,EIT,DemPlanning,systems administration,LabVIEW"
6088,Ileana Stovell,"Restaurant Manager - Retail Food Service Management Job in Marion
","BW reporting,ICMP,ADA,Software Engineer,build,Big Data,Development Manager,Angular,payment gateways"
6089,Gianluca Donato,"PRODUCTION SUPERVISOR & INDUSTRIAL MAINTENANCE MECHANIC Job in 
","Fortran,ADA,Performace Management,Construction"
6090,Renae Carouthers,"PRODUCTION SUPERVISOR & INDUSTRIAL MAINTENANCE MECHANIC Job in 
","Machine Learning,Communication,AI,Management,intense curiosity,Struts,Database"
6091,Vennie Torgersen,"Student at Wuhan University, China

","Protocols,JavaScript,SQL,Business Intelligence,Processor Design,BASH,validation"
6092,Connie Brauner,"Student at Wuhan University, China

","Developer,build processes,SAP ECC,ASP,PMP,Application Development,Raspberry Pi,AME,File Systems,Pharma or Biotech,Re-engineering,Angular.JS,Scientific Software,System,network monitoring"
6093,Georgeann Tole,"Student at Wuhan University, China

","Text Analytics,SciLab"
6094,Thomas Griffiths,"Asphalt Construction Superintendent- Wharton
","XML/XSL,Compiler Design,Redshift,Analyst,especially C/C++,Operations Analysis,Project Manager,deployment,Photoshop,Multithreading,Project"
6095,Toshia Wilgus,"Asphalt Construction Superintendent- Wharton
","SQL Server,Adobe Creative Cloud,Scheduling,C C++,Prime Video views,VBA,System Testing,Load/Performance Testing,Soap"
6096,Yolonda Slotkin,"Asphalt Construction Superintendent- Wharton
","TCP/IP,SQL,Hon Java Developer,IT Policy Procedures,Generic Programming,Network Security"
6097,Rory Schwart,"Asphalt Construction Superintendent- Wharton
","business development,HTML5"
6098,R?gis Vert,"Asphalt Construction Superintendent- Wharton
","Manager,Outlook,problem solving,Prime Video views,Gnuplot,mobile device,System Engineering,User Interface,Applications,user training"
6099,Freddie Quiel,"Asphalt Construction Superintendent- Wharton
","Architecture,OOD,Lawson Supply Chain,Scripting knowledge,Unity,Management,JSP"
6100,Lakia Metia,"Asphalt Construction Superintendent- Wharton
","Wealth Management,ADA,DB2,Hive,CISA"
6101,Terence Rioseco,"Human Resources Assistant Job in Norwood
","Accounting,SARBANES,JENKINS"
6102,Tomika Kielty,"Human Resources Assistant Job in Norwood
","PERFORCE,Selenium,SDLC,Gnuplot,Microsoft Office,Julia,Design Patterns,UNIX/AIX,Project Manager,Primavera 6.0,React,Machine Learning"
6103,Shoshana Mulhall,"Human Resources Assistant Job in Norwood
","Micro,Network Management,Arduino,Keras,Computer Science,Node.js,Business Requirements,Kinesis,J2EE,WebLogic,UNIX/AIX,Virtual Reality,Neural Networks,SQL Reporting Services Suite,Computer Science"
6104,Jody Wash,"Human Resources Assistant Job in Norwood
","COMPLIANCE,Project Management,Design,Digital Design,Azure,Operations,manage,Brocade,Hibernate"
6105,Joanie Abdelaziz,"Human Resources Assistant Job in Norwood
","Go,CONTROL,Quality,BANKING,PMP,Systems,Maya,Development,InformationSecurity,PCI,JSF"
6106,Tamera Hiedeman,"Human Resources Assistant Job in Norwood
","Cisco UCS,Test,Architect,Analytical,movies,Program Manager,.NET C#,Release,problem solving,MongoDB,Risk Management,Computer Networks,Unifier"
6107,Amos Muha,"Human Resources Assistant Job in Norwood
","Scheduling,Mainframe"
6108,Randell Tarling,"Human Resources Assistant Job in Norwood
","Photoshop,Metrics,Web Server,data extraction,Bash shell scripting,Brocade,Documentation,JSP"
6109,Linwood Mcgeeney,"Data Entry Coordinator Job in Detroit
","Data Analysis,network monitoring,LabVIEW,Project,Design,Recruiter,TCP/IP,BANKING,CONTINUOUS INTEGRATION,OOP,HTTP,Unity,CASE,ForeSee"
6110,Rogelio Hedgpeth,"Data Entry Coordinator Job in Detroit
","Consumer Electronics Devices,Storage Devices,After Effects,J2EE,Programmer,Asset Management,network monitoring,Design,Soap"
6111,Rema Zeimetz,"Data Entry Coordinator Job in Detroit
","Info Sec,AI,Java C/C++,MS Office,Java C/C++,Data Analytics,Metrics,IT Policy Procedures,System Testing,UX"
6112,Stephenie Woelfel,"Data Entry Coordinator Job in Detroit
","Hadoop,Excel,DEVOPS ENGINEER,Angular2,Engineering"
6113,Bhaswar Bhattacharya,"Data Entry Coordinator Job in Detroit
","Telecommunications,Web Developer,XML,SAP APO,HANA"
6114,Digna Sadhra,"Site Estimator Job in Columbus
","Content Delivery Networks,Modeling,Projects,FPGA,MIS a related IT field,HTML,CUSTOMER SUPPORT,VBA,SAS,ASP.NET"
6115,Cathey Smetana,"Regional Sales Director Job in Dallas
","MS Project Stadard,Networking,Prime Video views,FIX.FAST,ALM,Risk Management,Change Management,Kinesis,Selenium,Xcode,Quality,Scrum,Angular2,build"
6116,C. A. Mead,"Regional Sales Director Job in Dallas
","Configuration Management,CENTOS,Angular2,Algorithm Engineer,,Workflow,user training,SOX"
6117,Adrian Battles,"Regional Sales Director Job in Dallas
","InformationSecurity,QA Tester,Virtual Reality,digital analytics,payment gateways"
6118,Rodger Michand,"Child Welfare / Children Services Caseworker Team Supervisor Job in Columbus
","JSF,File Systems,Flask,preferably with Scala,Engineering,Web,VB.NET,DemPlanning,PERFORCE,Spotfire,Protocol,selenium testing automation"
6119,Winnifred Campoy,"Child Welfare / Children Services Caseworker Team Supervisor Job in Columbus
","network monitoring,Quality Assurance,Libraries,.NET C#,movies,CSS3,Performace Management,Foundation,Network Engineer,User Interface,OS x,See job description"
6120,Rasheeda Weathersby,"Child Welfare / Children Services Caseworker Team Supervisor Job in Columbus
","Projects,SOX"
6121,Glendora Messerli,"Child Welfare / Children Services Caseworker Team Supervisor Job in Columbus
","shopping carts,NoSQL,Hardware"
6122,Tyler Moncivais,"Child Welfare / Children Services Caseworker Team Supervisor Job in Columbus
","Recruiter,Hardware"
6123,Fransisca Yannantuono,"Child Welfare / Children Services Caseworker Team Supervisor Job in Columbus
","movies,catalogs,Angular2,PMP,FPGA,Data Storage,Tester,Map Reduce"
6124,Rolanda Colbeck,"Sales Associate Job in Irving
","Performance,Business Intelligence,CISA,Supervision,test design,CONTINUOUS INTEGRATION,HBase,IP Video Delivery,C#,Switches,Tensorflow,Applications,AME,data analysts"
6125,Vena Rebello,"Sales Associate Job in Irving
","JQuery,RESTful web services,Middleware,Project coordinator,HBase"
6126,Brittni Deprato,"Sales Associate Job in Irving
","Theory of Computation,Mortgage/Equiting Lending,systems administration,JavaScript,Retail"
6127,Luba Kranz,"Sales Associate Job in Irving
","Tableau,business development,Compiler Design,Go,Programming,AML,architectural design patterns"
6128,Markita Abbamonte,"Sales Associate Job in Irving
","Websites,problem solving,Windows 7,Network Management,Linux System Admin"
6129,Joana Fausset,"Sales Associate Job in Irving
","BASH,HAHA,Operating Systems,Scheduling,Linux,Critical Thinking,CISM,RESTful web services,Architecture,Info Sec,FICO,AP Technical Lead"
6130,Chance Humfeld,"Sales Associate Job in Irving
","Regulated Environment,visualization SQL,MS Excel,Rational,UX,Kinesis,Computer Science,UX,Citrix,COMPLIANCE,XML/XSL"
6131,Gracia Chavaria,"Sales Associate Job in Irving
","HTML,Regulated Environment"
6132,Asuncion Roethle,"Quality Control Supervisor / Manager Job in Cedar Grove
","BANKING,Angular,Computer vision,Tester,SaaS solution Coupa,OS x,Redshift,Network Engineering,fashion,fashion,DEVELOPMENT SUPPORT,VB.NET,MongoDB"
6133,Nguyen Cuong,"Quality Control Supervisor / Manager Job in Cedar Grove
","Cisco,Stored Procedures,test design,UNIX/AIX,Unity,Programmer,Network Engineering,Windows 7,JCL,Adobe"
6134,Rub?n Morales-Men?ndez,"Quality Control Supervisor / Manager Job in Cedar Grove
","ICMP,BW reporting"
6135,Mary Dipietro,"IT Program/Project Manager Contract code MSBG) Job in Redmond
","SAP ERP,React,SQL"
6136,Lauren Wiscombe,"IT Program/Project Manager Contract code MSBG) Job in Redmond
","AML,After Effects,OS x,Google,VMAX,Java,Exchange,SQL,SQL Server,preferably with Scala,data extraction"
6137,Gidget Mcewan,"Registered Nurse 
","SAS,iOS,preferably with Scala,DL4J,visualization SQL,Business Analytics,JENKINS,HTML5,System Software,C++,System Software,Cryptocurrency"
6138,Qiang Qiu,"Registered Nurse 
","IT,user training"
6139,Carol Ong,"Registered Nurse 
","RHEL,Ajax"
6140,Johnsie Faro,"Technical Project Manager Job in Seattle
","data analysts,problem solving,Rational,TCP/IP,RESTful web services,Performance,Mobile,Matlab,Apache,Outlook,C++,Linux System Admin,System Testing,Infrastructure,Full Time"
6141,Bethany Nist,"Technical Project Manager Job in Seattle
","Unix,SOX,OOD,TFS,UNIX/AIX,Telecom,IP Video Delivery,Cisco UCS,BASH,payment gateways"
6142,Tyesha Kinkaid,"Technical Project Manager Job in Seattle
","AML,Network Security,JSF,Data Structures,Selenium"
6143,Annmarie Bowline,"Technical Project Manager Job in Seattle
","Avamar,ICMP,Bash shell scripting,Text Analytics,DL4J,Telecommunications,Web Developer,SDLC,Browzwear,CRM,payment gateways,CISM"
6144,Moshe Mayoras,"Technical Project Manager Job in Seattle
","Adobe,Protocol,Change Management,Angular.JS,Hive,Solaris"
6145,Clay Gritman,"Technical Project Manager Job in Seattle
","General Ledger,selenium testing automation,Unix Systems Programming"
6146,Rama Natarajan,"Technical Project Manager Job in Seattle
","Pharma or Biotech,MIS a related IT field,C/C++,Projects,SalesForce,OpenCV,Protocols,SAP APO,APL"
6147,Daisey Zullo,"US-Customer Project/Program Manager III Job in Lake Aluma
","Programming,synthesis modeling,OOP,shopping carts,CISM,payment gateways,Development Manager,C#,Rest,Open CV,Angular2,Apache,OpenCV"
6148,Merrill Yeubanks,"Operations Manager Job in Colorado Springs
","Network Engineer,PowerPoint,Project coordinator,Retail,user training,SQL,OS x,MS Excel"
6149,Cicely Galayda,"Operations Manager Job in Colorado Springs
","Rust,OS x,TFS,develop"
6150,Stewart Perritt,"Operations Manager Job in Colorado Springs
","Rational,Engineering,Computer Networks,Unifier,DynamoDB,SARBANES,Adobe,VB,iOS"
6151,Tiffany Delosh,"Operations Manager Job in Colorado Springs
","Matlab,.NET C#,SHELL,BASIC,Cognos"
6152,Thalia Derer,"Operations Manager Job in Colorado Springs
","Network Management,Chef,Brocade,GIT,User Interface,concepts,Construction,Rust,Data Storage,ARM,Content Delivery Networks"
6153,Deanna Needell,"Shop Manager Job in Alliance
","RHEL,Web Server,C,Scrum,VMAX,TDD"
6154,Luann Weyrauch,"Shop Manager Job in Alliance
","selenium testing automation,Middleware,Change Management,QA Tester,Documentation,develop,IT Policy Procedures,Scrum,intense curiosity,React,Desktop"
6155,Arthur Remfert,"Shop Manager Job in Alliance
","F#,Data Mining,JSP,HAHA"
6156,Kasie Carrethers,"Shop Manager Job in Alliance
","HTML,3D,Documentation,MVC,User Interface,IAM"
6157,Lyle Gutter,"Shop Manager Job in Alliance
","Process Engineering,Stored Procedures,Access,movies,Struts,Defect Management,Signals,manage,reports,CRM,JENKINS,Director of IS,WebSphere"
6158,Hortensia Livingstone,"Shop Manager Job in Alliance
","preferably with Scala,Chef,UX,Access"
6159,Melonie Dobbins,"Shop Manager Job in Alliance
","Developer,Programming,Kinesis,Open CV,VMware,data driven development,PMP,CSS,ADABAS"
6160,Shelba Peavler,"Project Manager Job in Lanham
","Apache,OOP,Brocade,user training,Re-engineering,IT,Construction"
6161,Kelli Schwartz,"Project Manager Job in Lanham
","INTERNAL CONTROL,IIS,applications development,NoSQL,CRM,network monitoring,Protocol,manage,R,catalogs,Gnuplot"
6162,Lonna Escarrega,"Project Manager Job in Lanham
","SQL Reporting Services Suite,Architecture,JSON,Infrastructure,Test,problem solving,ADABAS,Hadoop,Java Java EE,IBM,NoSQL,EIT,Consulting,Android Studio"
6163,Yasin Abbasi,"Project Manager Job in Lanham
","AP,Drug Development,CISSP,Contract Corp-To-Corp,Java/J2EE,Windows,pharma,Soap,intense curiosity,Libraries"
6164,Luciano Kresky,"Project Manager Job in Lanham
","Metrics,ADABAS,Machine Learning"
6165,Sol Farrey,"Quality Engineer Job in Shelbyville
","Mobile,Rust,PCI,API"
6166,Olen Ehleiter,"Quality Engineer Job in Shelbyville
","Video,Microsoft Access,HTML5,network monitoring,MAVEN,Supervision,Drug Development,TCP/IP"
6167,Trudie Breiling,"Quality Engineer Job in Shelbyville
","Foundation,deployment,EIT,General Ledger,Network Engineering,architectural design patterns,Avamar,PyTorch,WebLogic,Excel"
6168,Xenia Heller,"Quality Engineer Job in Shelbyville
","HTTP,Algorithms,Customer Service,OOD,OpenStack,Performace Management,Soap,MACOSX,Fortran,XML,authors,Info Sec,PyTorch,Raspberry Pi"
6169,Sima Shabala,"Quality Engineer Job in Shelbyville
","Tableau,MS Project Stadard,Testing,Libraries,AngularJS"
6170,Dimitris Margaritis,"Quality Engineer Job in Shelbyville
","Azure,Research,AP,visualization SQL"
6171,Zonia Montegut,"Optical IP Customer Support Engineer Job in Richardson
","HTTP,AR,Network Management,Unix Systems Programming,Programmer,PMP,DynamoDB,VB Script,Operations,Wealth Management,Signals,F#"
6172,Elvia Magat,"Optical IP Customer Support Engineer Job in Richardson
","Business Analytics,Tensorflow,J2EE,RESTful web services,Photoshop,Network Engineer,Spring,,SHELL,Data Storage,Analysis,Arduino,Chef,Programming"
6173,Louie Trolio,"Optical IP Customer Support Engineer Job in Richardson
","Mortgage/Equiting Lending,Best Practices,CONTINUOUS INTEGRATION,Angular.JS,SQL Reporting Services Suite,PMP,Re-engineering,Business Intelligence,Sales,User Interface,DEVELOPMENT SUPPORT,Engineer,VB"
6174,Justin Sahr,"Construction Supervisor/Foreman InlRichlJob in Richland
","business inteligence,digital analytics,Data Storage,Computer Science,MS Project Stadard,Network Security,Java/J2EE,CSS,PHP,Processor Design,Infrastructure,Optimization,ADA"
6175,Pete Karimi,"Construction Supervisor/Foreman InlRichlJob in Richland
","Virtual Reality,Azure,PHP,ADA"
6176,Sheng Ma,"Construction Supervisor/Foreman InlRichlJob in Richland
","Text Analytics,BASIC,especially C/C++,FPGA"
6177,Beverly Aument,"Construction Supervisor/Foreman InlRichlJob in Richland
","firmware,Business Requirements,Artificial Intelligence"
6178,Kenia Burtner,"Construction Supervisor/Foreman InlRichlJob in Richland
","Middleware,SciLab,General Ledger,Spark,JSON,Protocol Management,Virtual Reality,fashion"
6179,Magaret Miesner,"Construction Supervisor/Foreman InlRichlJob in Richland
","AME,Agile,DL4J,Analytical,Sales,Hon Java Developer"
6180,Carmelia Delashaw,"Retail General Managers-Unit Directors Job in Hampton
","Operations,pharma,C C++,Data Storage,ADABAS,Telecommunications,Visual Studio,Adobe,Angular,Android"
6181,Mercy Foeller,"Retail General Managers-Unit Directors Job in Hampton
","F#,CASE,Data Architecture,Struts,System Engineering"
6182,Terri Jardel,"Retail General Managers-Unit Directors Job in Hampton
","Network,Machine Learning,UX,IBM,Supply Chain,Project coordinator,ASP,WCF,WCF,Optimization,OOP"
6183,Ida Homs,"Retail General Managers-Unit Directors Job in Hampton
","SaaS solution Coupa,Test,Retail,Change Management,reporting,Octave,Oracle R12 E-Business,AR,DynamoDB,NoSQL,Release,Angular.JS,Cisco"
6184,Satinder P. Singh,"Retail General Managers-Unit Directors Job in Hampton
","Network,Map Reduce,Systems,Contract Corp-To-Corp,IT Policy Procedures,APL"
6185,Raleigh Agunos,"Industrial Construction Superintendent Job in Chicago
","Avamar,SalesForce,C C++,PowerPoint,fashion,Modeling,mobile device,authors,Supply Chain,Processor Design,preferably with Scala,Computer Organisation,Keras,Design Patterns"
6186,Tawny Eapen,"Industrial Construction Superintendent Job in Chicago
","Adobe Creative Cloud,books,Engineer,Architecture,ALM,PowerPoint,GIT,REST API,Hon Java Developer,Operations,IAM"
6187,Chandra Sturdevant,"Industrial Construction Superintendent Job in Chicago
","Hadoop,selenium testing automation,CUSTOMER SUPPORT,Testing,Lawson Supply Chain,user training,Project coordinator,Network Engineering,Director of IS,Stored Procedures,DL4J,Django"
6188,V. I. Makarenko,"Industrial Construction Superintendent Job in Chicago
","Java C/C++,Asset Management,business inteligence,OIM,Info Sec,Spring,,C#,Agile,Business Intelligence,Research,develop,UX,BANKING,DEVELOPMENT SUPPORT"
6189,Particia Bilder,"Industrial Construction Superintendent Job in Chicago
","Ruby,Supervision,SQL Server,Contract Corp-To-Corp,WCF,CSS,build,Augmented Reality,DL4J,Applications,Angular,Perl,DNS,business development"
6190,Marry Goodsite,"Industrial Construction Superintendent Job in Chicago
","Recruiter,JENKINS,HBase,Oracle,APL,Shell Script,Angular,Application,Websites"
6191,Ulugbek Kamilov,"Industrial Construction Superintendent Job in Chicago
","Design Patterns,Spark,Video,JSON"
6192,Wilbur Stecklein,"Industrial Construction Superintendent Job in Chicago
","biotech,Unix Systems Programming,Access,Artificial Intelligence,SSL,Regulated Environment,Data Architecture,problem solving"
6193,Nicholle Calta,"Registered Nurse: Surgical Services Job in Dallas
","Compiler Design,Regulated Environment"
6194,Ara Vartanian,"Registered Nurse: Surgical Services Job in Dallas
","Performance,INTERNAL CONTROL,Informatica Admin,Mortgage/Equiting Lending,Mortgage/Equiting Lending,User Interface,data extraction,Java C/C++,3D,biotech,BASIC,Sales Engineer,manage"
6195,Lenore Lehenbauer,"Registered Nurse: Surgical Services Job in Dallas
","Project coordinator,mobile device"
6196,Cem Subakan,"Registered Nurse: Surgical Services Job in Dallas
","AME,Virtual Reality,BANKING,QA Tester,Database Administration,Unix Systems Programming,Spring,"
6197,Samual Ockey,"Registered Nurse: Surgical Services Job in Dallas
","TFS,AP Technical Lead,Infrastructure,PyTorch,ARM,Web Developer,Azure,Lawson Supply Chain,.NET,Operations Analysis,Multithreading,Mobile"
6198,Adam Dijulio,"Registered Nurse: Surgical Services Job in Dallas
","VMAX,Defect Management,.NET C#,reporting,.NET,UX,Database,JSON,Lawson Supply Chain,System Testing"
6199,Leonor Loht,"Registered Nurse: Surgical Services Job in Dallas
","HTML,movies,OpenCV,MS Project Stadard,movies,Network Management,Database Administration,C C++,VB.NET,ARM,Research,Sybase"
6200,Denice Kanne,"Registered Nurse: Surgical Services Job in Dallas
","Oracle,MongoDB,SQL Reporting Services Suite,applications development,Sybase,Content Delivery Networks,Virtual Reality,Hive,Artificial Intelligence,User Interface,Developer,Configuration Management"
6201,ArmDuhl,"Manufacturing Team Lead Job in Pulaski
","Re-engineering,Unifier,Systems,applications development,Unix"
6202,Tambra Quero,"Manufacturing Team Lead Job in Pulaski
","Consulting,Data Architecture"
6203,Ciera Bogert,"Manufacturing Team Lead Job in Pulaski
","MapsAPI,Metrics,Accounting,AWS,Perl,Performance,Director of IS,Business Analyst healthcare,Photoshop,Visual Studio,Communication,systems administration,Browzwear,Risk Management"
6204,Lisbeth Lupiani,"Manufacturing Team Lead Job in Pulaski
","Documentation,Sales,OS x,Angular,Java Java EE,ASP"
6205,Calista Fariss,"Manufacturing Team Lead Job in Pulaski
","Data Storage,Contract Corp-To-Corp,Storage Devices,Citrix,Cognos,AR,Mobile,Outlook,Architecture"
6206,Elia Uson,"Corporate Legal Assistant – Blue Sky Job in New York
","Perl,Protocol Management,validation,Protocol,Computer Networks,Web Server,Java/J2EE,test design,Express,Network"
6207,Brittny Knaff,"Corporate Legal Assistant – Blue Sky Job in New York
","reporting,Signals,OS x,System,Computer,Visual Basic,Design Patterns,Maya,ICMP,books,Business Analyst,EIT,Keras,Unifier,Linux"
6208,Yuri Grinberg,"Corporate Legal Assistant – Blue Sky Job in New York
","Django,Lifecycle,Security Risk Management,Web,Linux System Admin,Consulting,Java/J2EE,Node.js,Contract Independent,Switches,Data Storage,AngularJS,Compiler Design,Spotfire,AUDIT"
6209,Nelle Zevenbergen,"Corporate Legal Assistant – Blue Sky Job in New York
","QA,VB,QA,Business Requirements,AP"
6210,Florencia Meiler,"Corporate Legal Assistant – Blue Sky Job in New York
","Struts,Development,Access,Bash shell scripting,Performance,Software Engineer"
6211,Marylyn Gajda,"Corporate Legal Assistant – Blue Sky Job in New York
","Protocol Management,Rest,DemPlanning,Recruiter"
6212,Sherrell Pofahl,"Corporate Legal Assistant – Blue Sky Job in New York
","Libraries,.NET,Outlook,SQL Reporting Services Suite,CUSTOMER SUPPORT,HBase,Analysis,F#,Unity,TCP/IP,Soap,Java,System Testing"
6213,Gina Barbrick,"Program Manager Decision Strategy Job in El Segundo
","Process Engineering,develop"
6214,Fern Scharff,"Program Manager Decision Strategy Job in El Segundo
","Consumer Electronics Devices,Plug Play,authors"
6215,Andrew Melia,"Store Detective - ClevelSouth Full Time) Job in Bedford Heights
","AP Technical Lead,Programmer,Engineering,Cloud Computing,J2EE,Visual Studio,CUSTOMER SUPPORT,business development,File Systems"
6216,Ahmad Salman,"Store Detective - ClevelSouth Full Time) Job in Bedford Heights
","Sales Engineer,DEVOPS ENGINEER,authors,Oracle,CONTROL,reports,AI,Microsoft Office,Microsoft Access,Data Structures,business development"
6217,Brock Dub,"Pharmacy Service Technician Job in Shawnee Mission
","Data Architecture,Rational,BW reporting,Business Requirements,applications development,reporting,Sales,IIS,SQLITE,React,Design Patterns,Rest,JSP,Cognos"
6218,Divina Sisto,"Pharmacy Service Technician Job in Shawnee Mission
","Mobile,Sales"
6219,Foster Isabella,"Assistant Controller Publicly Traded Company) Job in Billerica
","Hadoop,user training,SAP ECC,COMPLIANCE,OpenCV,Computer,REST API,System,Hardware"
6220,Sandee Quettant,"Assistant Controller Publicly Traded Company) Job in Billerica
","PMP,Desktop"
6221,Josephina Valentini,"Assistant Controller Publicly Traded Company) Job in Billerica
","Brocade,WebSphere,Critical Thinking,InformationSecurity,Octave,Database,Processor Design,OIM,SYSTEM ENGINEER"
6222,Lindsay Crill,"Assistant Controller Publicly Traded Company) Job in Billerica
","Europe Asia.,Microsoft Word"
6223,Elois Batzri,"Assistant Controller Publicly Traded Company) Job in Billerica
","SAP ECC,System Software,Analytical Skills,TDD,AME,Lawson Supply Chain,RHEL,Manager,Android,SHELL,Tester,C/C++,Cloud Computing,Change Management"
6224,Annetta Headrick,"Assistant Controller Publicly Traded Company) Job in Billerica
","Computer vision,visualization SQL,Python,Financial Services,Virtual Reality"
6225,Julianna Moeser,"Assistant Controller Publicly Traded Company) Job in Billerica
","Network Engineer,Cloud Computing"
6226,Donetta Havely,"Assistant Controller Publicly Traded Company) Job in Billerica
","Angular JS,Adobe,HTTP,Wealth Management"
6227,Barrie Chimenti,"Clinical Dietitian II - Chesapeake
","APL,PCI,Spring,,CASE"
6228,Junbo Jake Zhao,"Development Operations Container Engineer Job in Denver
","Browzwear,Contract W2,Solr,Business Requirements"
6229,Contessa Derflinger,"Development Operations Container Engineer Job in Denver
","React,JCL,BANKING,J2EE,Excel,user training,QA Tester,PHP,Hibernate,Hadoop,Automated,JSP"
6230,Korey Schiro,"Development Operations Container Engineer Job in Denver
","Apache,JENKINS,Spring,Computer,Neural Networks,Release,CSS3,DB2,Octave,catalogs,IIS,PyTorch,CISA,Angular.JS,R"
6231,Micaela Wichterman,"Development Operations Container Engineer Job in Denver
","TFS,Business Analytics,Re-engineering,DemPlanning,Rest,Manager,CSS3,Unix,Development Manager,Infrastructure"
6232,Terrell Marmie,"Development Operations Container Engineer Job in Denver
","Operations Analysis,Engineering,BASIC,Business Intelligence,Testing,Google,J2EE,QA Tester"
6233,Kandis Delnegro,"Personal Injury firm File Clerk- Bilingual Spanish/English Job in New York City
","Digital Design,Ajax,Tester,Soap,Automated,business development,HAHA,Tester,SAP APO,Computer Organisation,Database Management"
6234,Irish Balak,"Personal Injury firm File Clerk- Bilingual Spanish/English Job in New York City
","API,ADA,MS Office,WebSphere,SYSTEM ENGINEER"
6235,Toni Diel,"Personal Injury firm File Clerk- Bilingual Spanish/English Job in New York City
","network monitoring,Quality,Sales Engineer,Communication,HTML,FICO"
6236,Jarrett Gladysz,"Personal Injury firm File Clerk- Bilingual Spanish/English Job in New York City
","EIT,JSP,Unity,Cloud Computing,visualization SQL,Linux System Admin"
6237,Tiera Stoica,"Personal Injury firm File Clerk- Bilingual Spanish/English Job in New York City
","Supervision,OpenCV,XML,Supply Chain"
6238,Fran Gromley,"Personal Injury firm File Clerk- Bilingual Spanish/English Job in New York City
","Microsoft Word,Web services,Shell Script,VNF Manager,NLP,SaaS solution Coupa,System Software,pharma,3D,System Engineering,Infrastructure,Micro,Open CV"
6239,Charis Bulluck,"Dental Hygienist Job in Lakewood
","Metrics,CRM,3D,Project Management,Excel,Re-engineering,Web,staffing,AME,PowerPoint,Wireless,Data Analysis"
